"Rango de inicio","Rango de finalización","Valor"
"0.29","893.26",4
"893.26","1,786.23",37
"1,786.23","2,679.2",0
"2,679.2","3,572.17",251
"3,572.17","4,465.15",0
"4,465.15","5,358.12",0
"5,358.12","6,251.09",0
"6,251.09","7,144.06",4
"7,144.06","8,037.03",1071
"8,037.03","8,930",185
